BestMatchLKF: 30, SbBoW 0.75 matches: 347
BestMatchLKF: 30, SbBoW 0.75 matches: 284
BestMatchLKF: 31, SbBoW 0.75 matches: 225
BestMatchLKF: 31, SbBoW 0.75 matches: 224
BestMatchLKF: 31, SbBoW 0.75 matches: 262
BestMatchLKF: 31, SbBoW 0.75 matches: 283
BestMatchLKF: 31, SbBoW 0.75 matches: 314
BestMatchLKF: 31, SbBoW 0.75 matches: 339
BestMatchLKF: 31, SbBoW 0.75 matches: 356
BestMatchLKF: 31, SbBoW 0.75 matches: 316
BestMatchLKF: 31, SbBoW 0.75 matches: 281
BestMatchLKF: 31, SbBoW 0.75 matches: 246
BestMatchLKF: 31, SbBoW 0.75 matches: 219
BestMatchLKF: 31, SbBoW 0.75 matches: 215
BestMatchLKF: 31, SbBoW 0.75 matches: 206
BestMatchLKF: 32, SbBoW 0.75 matches: 165
BestMatchLKF: 32, SbBoW 0.75 matches: 190
BestMatchLKF: 32, SbBoW 0.75 matches: 216
BestMatchLKF: 32, SbBoW 0.75 matches: 280
BestMatchLKF: 32, SbBoW 0.75 matches: 980
BestMatchLKF: 32, SbBoW 0.75 matches: 265
BestMatchLKF: 32, SbBoW 0.75 matches: 245
BestMatchLKF: 32, SbBoW 0.75 matches: 205
BestMatchLKF: 32, SbBoW 0.75 matches: 167
BestMatchLKF: 32, SbBoW 0.75 matches: 164
BestMatchLKF: 32, SbBoW 0.75 matches: 142
BestMatchLKF: 32, SbBoW 0.75 matches: 156
BestMatchLKF: 32, SbBoW 0.75 matches: 125
BestMatchLKF: 32, SbBoW 0.75 matches: 101
BestMatchLKF: 97, SbBoW 0.75 matches: 56
BestMatchLKF: 33, SbBoW 0.75 matches: 126
BestMatchLKF: 33, SbBoW 0.75 matches: 146
BestMatchLKF: 33, SbBoW 0.75 matches: 190
BestMatchLKF: 33, SbBoW 0.75 matches: 288
BestMatchLKF: 33, SbBoW 0.75 matches: 317
BestMatchLKF: 33, SbBoW 0.75 matches: 213
BestMatchLKF: 34, SbBoW 0.75 matches: 207
BestMatchLKF: 34, SbBoW 0.75 matches: 201
BestMatchLKF: 34, SbBoW 0.75 matches: 188
BestMatchLKF: 34, SbBoW 0.75 matches: 176
BestMatchLKF: 34, SbBoW 0.75 matches: 208
BestMatchLKF: 34, SbBoW 0.75 matches: 319
BestMatchLKF: 34, SbBoW 0.75 matches: 986
BestMatchLKF: 34, SbBoW 0.75 matches: 303
BestMatchLKF: 34, SbBoW 0.75 matches: 223
BestMatchLKF: 34, SbBoW 0.75 matches: 155
BestMatchLKF: 35, SbBoW 0.75 matches: 103
BestMatchLKF: 41, SbBoW 0.75 matches: 109
BestMatchLKF: 36, SbBoW 0.75 matches: 148
BestMatchLKF: 35, SbBoW 0.75 matches: 172
BestMatchLKF: 35, SbBoW 0.75 matches: 204
BestMatchLKF: 35, SbBoW 0.75 matches: 265
BestMatchLKF: 35, SbBoW 0.75 matches: 269
BestMatchLKF: 35, SbBoW 0.75 matches: 408
BestMatchLKF: 35, SbBoW 0.75 matches: 986
BestMatchLKF: 35, SbBoW 0.75 matches: 357
BestMatchLKF: 35, SbBoW 0.75 matches: 276
BestMatchLKF: 35, SbBoW 0.75 matches: 254
BestMatchLKF: 35, SbBoW 0.75 matches: 226
BestMatchLKF: 35, SbBoW 0.75 matches: 206
BestMatchLKF: 35, SbBoW 0.75 matches: 222
BestMatchLKF: 35, SbBoW 0.75 matches: 200
BestMatchLKF: 35, SbBoW 0.75 matches: 184
BestMatchLKF: 35, SbBoW 0.75 matches: 242
BestMatchLKF: 35, SbBoW 0.75 matches: 226
BestMatchLKF: 35, SbBoW 0.75 matches: 201
BestMatchLKF: 36, SbBoW 0.75 matches: 221
BestMatchLKF: 36, SbBoW 0.75 matches: 286
BestMatchLKF: 36, SbBoW 0.75 matches: 984
BestMatchLKF: 36, SbBoW 0.75 matches: 379
BestMatchLKF: 36, SbBoW 0.75 matches: 272
BestMatchLKF: 36, SbBoW 0.75 matches: 222
BestMatchLKF: 36, SbBoW 0.75 matches: 194
BestMatchLKF: 36, SbBoW 0.75 matches: 164
BestMatchLKF: 36, SbBoW 0.75 matches: 156
BestMatchLKF: 34, SbBoW 0.75 matches: 167
BestMatchLKF: 36, SbBoW 0.75 matches: 133
BestMatchLKF: 41, SbBoW 0.75 matches: 134
BestMatchLKF: 37, SbBoW 0.75 matches: 171
BestMatchLKF: 34, SbBoW 0.75 matches: 138
BestMatchLKF: 37, SbBoW 0.75 matches: 203
BestMatchLKF: 37, SbBoW 0.75 matches: 248
BestMatchLKF: 37, SbBoW 0.75 matches: 273
BestMatchLKF: 37, SbBoW 0.75 matches: 981
BestMatchLKF: 37, SbBoW 0.75 matches: 299
BestMatchLKF: 38, SbBoW 0.75 matches: 145
BestMatchLKF: 38, SbBoW 0.75 matches: 157
BestMatchLKF: 38, SbBoW 0.75 matches: 209
BestMatchLKF: 38, SbBoW 0.75 matches: 254
BestMatchLKF: 40, SbBoW 0.75 matches: 221
BestMatchLKF: 40, SbBoW 0.75 matches: 319
BestMatchLKF: 40, SbBoW 0.75 matches: 298
BestMatchLKF: 40, SbBoW 0.75 matches: 253
BestMatchLKF: 40, SbBoW 0.75 matches: 222
BestMatchLKF: 40, SbBoW 0.75 matches: 182
BestMatchLKF: 40, SbBoW 0.75 matches: 147
BestMatchLKF: 41, SbBoW 0.75 matches: 156
BestMatchLKF: 41, SbBoW 0.75 matches: 188
BestMatchLKF: 41, SbBoW 0.75 matches: 237
BestMatchLKF: 41, SbBoW 0.75 matches: 301
BestMatchLKF: 41, SbBoW 0.75 matches: 986
BestMatchLKF: 41, SbBoW 0.75 matches: 253
BestMatchLKF: 41, SbBoW 0.75 matches: 261
BestMatchLKF: 41, SbBoW 0.75 matches: 222
BestMatchLKF: 41, SbBoW 0.75 matches: 213
BestMatchLKF: 41, SbBoW 0.75 matches: 187
BestMatchLKF: 42, SbBoW 0.75 matches: 196
BestMatchLKF: 42, SbBoW 0.75 matches: 216
BestMatchLKF: 42, SbBoW 0.75 matches: 254
BestMatchLKF: 42, SbBoW 0.75 matches: 267
BestMatchLKF: 42, SbBoW 0.75 matches: 295
BestMatchLKF: 42, SbBoW 0.75 matches: 338
BestMatchLKF: 42, SbBoW 0.75 matches: 370
BestMatchLKF: 42, SbBoW 0.75 matches: 356
BestMatchLKF: 42, SbBoW 0.75 matches: 244
BestMatchLKF: 42, SbBoW 0.75 matches: 214
BestMatchLKF: 42, SbBoW 0.75 matches: 173
BestMatchLKF: 42, SbBoW 0.75 matches: 162
BestMatchLKF: 42, SbBoW 0.75 matches: 173
BestMatchLKF: 42, SbBoW 0.75 matches: 150
BestMatchLKF: 42, SbBoW 0.75 matches: 147
BestMatchLKF: 42, SbBoW 0.75 matches: 125
BestMatchLKF: 43, SbBoW 0.75 matches: 132
BestMatchLKF: 42, SbBoW 0.75 matches: 129
BestMatchLKF: 43, SbBoW 0.75 matches: 164
BestMatchLKF: 43, SbBoW 0.75 matches: 187
BestMatchLKF: 43, SbBoW 0.75 matches: 162
BestMatchLKF: 43, SbBoW 0.75 matches: 183
BestMatchLKF: 43, SbBoW 0.75 matches: 215
BestMatchLKF: 43, SbBoW 0.75 matches: 238
BestMatchLKF: 43, SbBoW 0.75 matches: 288
BestMatchLKF: 43, SbBoW 0.75 matches: 295
BestMatchLKF: 43, SbBoW 0.75 matches: 265
BestMatchLKF: 43, SbBoW 0.75 matches: 229
BestMatchLKF: 43, SbBoW 0.75 matches: 225
BestMatchLKF: 43, SbBoW 0.75 matches: 203
BestMatchLKF: 43, SbBoW 0.75 matches: 189
BestMatchLKF: 43, SbBoW 0.75 matches: 185
BestMatchLKF: 44, SbBoW 0.75 matches: 135
BestMatchLKF: 44, SbBoW 0.75 matches: 157
BestMatchLKF: 44, SbBoW 0.75 matches: 196
BestMatchLKF: 44, SbBoW 0.75 matches: 214
BestMatchLKF: 44, SbBoW 0.75 matches: 286
BestMatchLKF: 44, SbBoW 0.75 matches: 333
BestMatchLKF: 44, SbBoW 0.75 matches: 339
BestMatchLKF: 44, SbBoW 0.75 matches: 242
BestMatchLKF: 44, SbBoW 0.75 matches: 219
BestMatchLKF: 45, SbBoW 0.75 matches: 202
BestMatchLKF: 45, SbBoW 0.75 matches: 254
BestMatchLKF: 45, SbBoW 0.75 matches: 325
BestMatchLKF: 45, SbBoW 0.75 matches: 975
BestMatchLKF: 45, SbBoW 0.75 matches: 278
BestMatchLKF: 45, SbBoW 0.75 matches: 254
BestMatchLKF: 45, SbBoW 0.75 matches: 262
BestMatchLKF: 45, SbBoW 0.75 matches: 233
BestMatchLKF: 45, SbBoW 0.75 matches: 282
BestMatchLKF: 45, SbBoW 0.75 matches: 248
BestMatchLKF: 45, SbBoW 0.75 matches: 228
BestMatchLKF: 45, SbBoW 0.75 matches: 225
BestMatchLKF: 45, SbBoW 0.75 matches: 192
BestMatchLKF: 45, SbBoW 0.75 matches: 202
BestMatchLKF: 45, SbBoW 0.75 matches: 191
BestMatchLKF: 45, SbBoW 0.75 matches: 170
BestMatchLKF: 45, SbBoW 0.75 matches: 150
BestMatchLKF: 45, SbBoW 0.75 matches: 174
BestMatchLKF: 45, SbBoW 0.75 matches: 169
BestMatchLKF: 45, SbBoW 0.75 matches: 149
BestMatchLKF: 45, SbBoW 0.75 matches: 148
BestMatchLKF: 45, SbBoW 0.75 matches: 126
BestMatchLKF: 45, SbBoW 0.75 matches: 122
BestMatchLKF: 45, SbBoW 0.75 matches: 127
BestMatchLKF: 45, SbBoW 0.75 matches: 130
BestMatchLKF: 45, SbBoW 0.75 matches: 123
BestMatchLKF: 45, SbBoW 0.75 matches: 122
BestMatchLKF: 45, SbBoW 0.75 matches: 123
BestMatchLKF: 45, SbBoW 0.75 matches: 127
BestMatchLKF: 45, SbBoW 0.75 matches: 114
BestMatchLKF: 45, SbBoW 0.75 matches: 102
BestMatchLKF: 45, SbBoW 0.75 matches: 101
BestMatchLKF: 45, SbBoW 0.75 matches: 95
BestMatchLKF: 45, SbBoW 0.75 matches: 85
BestMatchLKF: 45, SbBoW 0.75 matches: 79
BestMatchLKF: 44, SbBoW 0.75 matches: 40
BestMatchLKF: 91, SbBoW 0.75 matches: 79
BestMatchLKF: 45, SbBoW 0.75 matches: 66
BestMatchLKF: 46, SbBoW 0.75 matches: 114
BestMatchLKF: 46, SbBoW 0.75 matches: 109
BestMatchLKF: 46, SbBoW 0.75 matches: 114
BestMatchLKF: 46, SbBoW 0.75 matches: 139
BestMatchLKF: 46, SbBoW 0.75 matches: 121
BestMatchLKF: 46, SbBoW 0.75 matches: 172
BestMatchLKF: 46, SbBoW 0.75 matches: 171
BestMatchLKF: 46, SbBoW 0.75 matches: 213
BestMatchLKF: 46, SbBoW 0.75 matches: 304
BestMatchLKF: 46, SbBoW 0.75 matches: 244
BestMatchLKF: 46, SbBoW 0.75 matches: 238
BestMatchLKF: 46, SbBoW 0.75 matches: 184
BestMatchLKF: 46, SbBoW 0.75 matches: 154
BestMatchLKF: 47, SbBoW 0.75 matches: 157
BestMatchLKF: 47, SbBoW 0.75 matches: 164
BestMatchLKF: 47, SbBoW 0.75 matches: 180
BestMatchLKF: 47, SbBoW 0.75 matches: 214
BestMatchLKF: 47, SbBoW 0.75 matches: 248
BestMatchLKF: 47, SbBoW 0.75 matches: 289
BestMatchLKF: 47, SbBoW 0.75 matches: 276
BestMatchLKF: 47, SbBoW 0.75 matches: 220
BestMatchLKF: 47, SbBoW 0.75 matches: 201
BestMatchLKF: 47, SbBoW 0.75 matches: 168
BestMatchLKF: 47, SbBoW 0.75 matches: 159
BestMatchLKF: 47, SbBoW 0.75 matches: 133
BestMatchLKF: 47, SbBoW 0.75 matches: 147
BestMatchLKF: 47, SbBoW 0.75 matches: 139
BestMatchLKF: 47, SbBoW 0.75 matches: 127
BestMatchLKF: 48, SbBoW 0.75 matches: 212
BestMatchLKF: 48, SbBoW 0.75 matches: 298
BestMatchLKF: 48, SbBoW 0.75 matches: 241
BestMatchLKF: 48, SbBoW 0.75 matches: 147
BestMatchLKF: 48, SbBoW 0.75 matches: 128
BestMatchLKF: 48, SbBoW 0.75 matches: 113
BestMatchLKF: 48, SbBoW 0.75 matches: 131
